Plant Code,Plant Name,State,County,Latitude,Longitude,Nameplate Capacity (MW),Retirement Year,Name of Water Source,suitability_score,predicted_score,suitability_class,co2_reduction_tons_per_year
3,Barry,AL,Mobile,31.0069,-88.0103,272.0,2015.0,Mobile River,3,2.76,Poor (3+ violations),1448336.352
8,Gorgas,AL,Walker,33.644344,-87.196486,1416.7,2019.0,Warrior River,1,0.89,Good (1 violation),7543595.992200001
47,Colbert,AL,Colbert,34.7439,-87.8486,1350.0,2016.0,Tennessee River,1,1.17,Good (1 violation),7188434.100000001
50,Widows Creek,AL,Jackson,34.883022,-85.755253,1968.6,2015.0,Tennessee River,1,0.8,Good (1 violation),10482334.3476
51,Dolet Hills,LA,DeSoto,32.030556,-93.569167,720.7,2021.0,Toledo Bend Lake,1,1.42,Good (1 violation),3837558.8562000003
54,J K Smith,KY,Clark,37.8833,-84.1017,329.4,,Kentucky River,2,1.86,Fair (2 violations),1753977.9204000002
56,Lowman Energy Center,AL,Washington,31.488019,-87.910747,538.0,2020.0,Tombigbee River,1,1.9,Good (1 violation),2864724.108
79,Chena Power Plant,AK,Fairbanks North Star,64.847743,-147.735063,3.8,2009.0,Chena River,3,2.8,Poor (3+ violations),20234.110800000002
87,Escalante,NM,McKinley,35.4159,-108.082,257.0,2020.0,Wells,2,1.63,Fair (2 violations),1368464.862
113,Cholla,AZ,Navajo,34.9394,-110.3033,702.9,2020.0,Lake Wells,0,1.1,Excellent (0 violations),3742778.0214000004
136,Seminole (FL),FL,Putnam,29.733056,-81.632778,1564.6,2024.0,St Johns River,1,0.41,Good (1 violation),8331128.883600001
165,GREC,OK,Mayes,36.190278,-95.2894,540.0,2020.0,Grand Neosho,0,0.77,Excellent (0 violations),2875373.6399999997
207,St Johns River Power Park,FL,Duval,30.4308,-81.5508,1358.0,2018.0,St. Johns River,1,0.8,Good (1 violation),7231032.228
462,W N Clark,CO,Fremont,38.4344,-105.25,43.7,2013.0,Arkansas River,3,2.8,Poor (3+ violations),232692.27420000004
465,Arapahoe,CO,Denver,39.67,-105.0028,240.5,2013.0,South Platte River,3,2.4,Poor (3+ violations),1280606.223
468,Cameo,CO,Mesa,39.127778,-108.326111,75.0,2010.0,Colorado River,3,2.97,Poor (3+ violations),399357.45
469,Cherokee,CO,Adams,39.807275,-104.964548,420.5,2015.0,South Platte River,1,1.85,Good (1 violation),2239064.1030000006
470,Comanche (CO),CO,Pueblo,38.2081,-104.5747,382.5,2022.0,Arkansas River,1,1.21,Good (1 violation),2036722.995
477,Valmont,CO,Boulder,40.0195,-105.202,191.7,2017.0,South Boulder Creek,2,2.13,Fair (2 violations),1020757.6422000001
492,South Plant (CO),CO,El Paso,38.824444,-104.833333,125.0,2022.0,Municipality,2,1.74,Fair (2 violations),665595.75
508,Lamar Plant,CO,Prowers,38.033327,-102.537915,43.5,2014.0,Wells,3,2.74,Poor (3+ violations),231627.32100000005
511,Trinidad (CO),CO,Las Animas,37.178979,-104.487492,3.7,2017.0,Municipality,2,2.49,Fair (2 violations),19701.6342
527,Nucla,CO,Montrose,38.2383,-108.5069,113.8,2019.0,San Miguel River,2,2.0,Fair (2 violations),605958.3708
568,Bridgeport Station,CT,Fairfield,41.1706,-73.1844,400.0,2021.0,Aquarion Water Co,2,2.2,Fair (2 violations),2129906.4000000004
594,Indian River Generating Station,DE,Sussex,38.5857,-75.2341,340.0,2014.0,Indian River,3,3.2,Poor (3+ violations),1810420.4400000002
628,Crystal River,FL,Citrus,28.9656,-82.6977,964.3,2018.0,Gulf of Mexico,1,1.21,Good (1 violation),5134671.8538
642,Scholz,FL,Jackson,30.6692,-84.8869,98.0,2015.0,Apalachicola River,3,2.8,Poor (3+ violations),521827.0680000001
643,Lansing Smith,FL,Bay,30.2686,-85.7003,340.0,2016.0,North Bay,2,2.25,Fair (2 violations),1810420.4400000002
645,Big Bend,FL,Hillsborough,27.7944,-82.4036,445.5,2021.0,Tampa Bay,2,1.82,Fair (2 violations),2372183.2530000005
646,F J Gannon,FL,Hillsborough,27.907222,-82.423055,617.0,2004.0,Hillsborough Bay,2,2.38,Fair (2 violations),3285380.6220000004
676,C D McIntosh Jr,FL,Polk,28.0801,-81.9229,363.8,2021.0,Municipality,2,1.97,Fair (2 violations),1937149.8708000004
699,Arkwright,GA,Bibb,32.926944,-83.699444,89.2,2002.0,Ocmulgee River,3,2.8,Poor (3+ violations),474969.1272000001
708,Hammond,GA,Floyd,34.2528,-85.3456,953.0,2019.0,Coosa River,0,0.25,Excellent (0 violations),5074501.998
709,Harllee Branch,GA,Putnam,33.195,-83.2983,1746.2,2015.0,Lake Sinclair,0,0.0,Excellent (0 violations),9298106.389200002
710,Jack McDonough,GA,Cobb,33.8239,-84.4758,598.4,2012.0,Chattahoochee River,1,1.26,Good (1 violation),3186339.9744
727,Mitchell (GA),GA,Dougherty,31.444728,-84.134696,218.2,2016.0,Flint River,2,1.72,Fair (2 violations),1161863.9412000002
728,Yates,GA,Coweta,33.4622,-84.8986,679.9,2015.0,Chattahoochee River,0,0.92,Excellent (0 violations),3620308.4034000007
733,Kraft,GA,Chatham,32.1486,-81.1458,207.9,2015.0,Savannah River,2,1.87,Fair (2 violations),1107018.8514000003
861,Coffeen,IL,Montgomery,39.0586,-89.4031,1005.4,2019.0,McDavid Branch,0,0.0,Excellent (0 violations),5353519.736400001
867,Crawford,IL,Cook,41.82848,-87.72291,597.4000000000001,2012.0,Chicago Sanitary and Ship,1,1.47,Good (1 violation),3181015.2084000013
883,Waukegan,IL,Lake,42.3833,-87.8133,802.7,2022.0,Lake Michigan,0,0.2,Excellent (0 violations),4274189.6682
884,Will County,IL,Will,41.6334,-88.0629,1268.8,2022.0,Chicago Sanitary and Ship,0,0.0,Excellent (0 violations),6756063.100800001
886,Fisk Street,IL,Cook,41.8508,-87.6533,374.0,2012.0,Chicago Sanitary and Ship,2,2.0,Fair (2 violations),1991462.4840000002
889,Baldwin Energy Complex,IL,Randolph,38.205,-89.8544,634.5,2020.0,"Baldwin Lake, Kaskaskia River",0,0.59,Excellent (0 violations),3378564.0270000007
891,Havana,IL,Mason,40.2797,-90.08,488.0,2019.0,Illinois River,1,1.03,Good (1 violation),2598485.808
892,Hennepin Power Station,IL,Putnam,41.3028,-89.315,306.3,2019.0,Illinois River,1,1.49,Good (1 violation),1630975.8258
897,Vermilion,IL,Vermilion,40.1781,-87.7481,182.3,2011.0,Vermilion Reservoir,3,2.53,Poor (3+ violations),970704.8418000002
898,Wood River,IL,Madison,38.8639,-90.1347,500.1,2016.0,Mississippi River,0,1.25,Excellent (0 violations),2662915.4765999997
963,Dallman,IL,Sangamon,39.754803,-89.602389,387.70000000000005,2024.0,Lake Springfield,1,0.8,Good (1 violation),2064411.7782000005
964,Lakeside,IL,Sangamon,39.757327,-89.600512,75.0,2009.0,Lake Springfield,3,2.93,Poor (3+ violations),399357.45
976,Marion,IL,Williamson,37.619747,-88.953114,173.0,2020.0,Lake Egypt,2,1.66,Fair (2 violations),921184.5180000002
988,Tanners Creek,IN,Dearborn,39.0814,-84.8594,1100.1,2015.0,Ohio River,0,0.0,Excellent (0 violations),5857775.0766
991,Eagle Valley (IN),IN,Morgan,39.48517,-86.4183,301.6,2016.0,West fork of White River,1,1.43,Good (1 violation),1605949.4256
994,AES Petersburg,IN,Pike,38.5281,-87.2525,804.9,2023.0,White River,0,0.0,Excellent (0 violations),4285904.153400001
995,Bailly,IN,Porter,41.645,-87.1225,603.5,2018.0,Lake Michigan,0,0.63,Excellent (0 violations),3213496.281
996,Dean H Mitchell,IN,Lake,41.6392,-87.4069,383.5,2010.0,Lake Michigan,2,1.8,Fair (2 violations),2042047.7610000002
1004,Edwardsport,IN,Knox,38.8067,-87.2472,109.2,2011.0,West fork White River,3,2.31,Poor (3+ violations),581464.4472
1008,R Gallagher,IN,Floyd,38.2636,-85.8381,600.0,2021.0,Ohio River,0,0.33,Excellent (0 violations),3194859.6
1010,Wabash River,IN,Vigo,39.53,-87.4247,860.2,2016.0,Wabash River,0,0.26,Excellent (0 violations),4580363.713200001
1012,F B Culley,IN,Warrick,37.9111,-87.3275,46.0,2006.0,Ohio River,3,2.84,Poor (3+ violations),244939.23600000003
1024,Crawfordsville Power Plant,IN,Montgomery,40.048889,-86.8992,24.1,2023.0,Wells/Cooling Tower,2,1.42,Fair (2 violations),128326.86060000001
1037,Peru (IN),IN,Miami,40.7551,-86.0575,34.5,2015.0,Wabash River,2,2.2,Fair (2 violations),183704.427
1043,Frank E Ratts,IN,Pike,38.5201,-87.2662,233.2,2015.0,White River,2,1.65,Fair (2 violations),1241735.4312
1046,Dubuque,IA,Dubuque,42.5031,-90.658611,15.0,2010.0,Mississippi River,3,3.01,Poor (3+ violations),79871.49
1047,Lansing,IA,Allamakee,43.3359,-91.1675,338.5,2023.0,Mississippi River,1,1.2,Good (1 violation),1802433.2910000002
1058,Sixth Street,IA,Linn,41.984768,-91.668611,84.7,2010.0,Cedar Lake,3,2.8,Poor (3+ violations),451007.68020000006
1073,Prairie Creek,IA,Linn,41.944039,-91.639167,23.0,2010.0,Cedar River,3,2.96,Poor (3+ violations),122469.61800000002
1077,Sutherland,IA,Marshall,42.047333,-92.859444,37.5,2010.0,Wells,3,2.89,Poor (3+ violations),199678.725
1081,Riverside,IA,Scott,41.54,-90.4481,5.0,2013.0,Mississippi River,3,2.8,Poor (3+ violations),26623.83
1082,Walter Scott Jr Energy Center,IA,Pottawattamie,41.18,-95.8408,130.6,2015.0,"Missouri River, Wells",2,2.2,Fair (2 violations),695414.4395999999
1091,George Neal North,IA,Woodbury,42.32517,-96.37971,496.2,2016.0,Missouri River,1,1.3,Good (1 violation),2642148.8892
1167,Muscatine Plant #1,IA,Muscatine,41.3917,-91.0569,18.0,2024.0,Mississippi River,2,1.8,Fair (2 violations),95845.788
1175,Pella,IA,Marion,41.3981,-92.9144,38.0,2012.0,Municipality,3,2.73,Poor (3+ violations),202341.108
1218,Fair Station,IA,Muscatine,41.4569,-90.8233,62.5,2013.0,Mississippi River,3,2.65,Poor (3+ violations),332797.875
1250,Lawrence Energy Center,KS,Douglas,39.0072,-95.269167,87.0,2015.0,Kansas River,2,2.42,Fair (2 violations),463254.6420000001
1252,Tecumseh Energy Center,KS,Shawnee,39.0539,-95.568889,232.0,2018.0,Kansas River,2,2.15,Fair (2 violations),1235345.712
1353,Big Sandy,KY,Lawrence,38.1707,-82.6176,816.3,2015.0,Big Sandy River,0,0.99,Excellent (0 violations),4346606.485800002
1355,E W Brown,KY,Mercer,37.78831,-84.71257,293.1,2019.0,Herrington Lake,2,1.64,Fair (2 violations),1560688.9146
1357,Green River,KY,Muhlenberg,37.3636,-87.1214,263.6,2015.0,Green River,2,1.94,Fair (2 violations),1403608.3176
1360,Pineville,KY,Bell,36.796667,-83.761388,37.5,2002.0,Cumberland River,3,3.2,Poor (3+ violations),199678.725
1361,Tyrone,KY,Woodford,38.0478,-84.8483,75.0,2013.0,Kentucky River,3,2.55,Poor (3+ violations),399357.45
1363,Cane Run,KY,Jefferson,38.1831,-85.8892,644.6,2015.0,Ohio River,0,1.22,Excellent (0 violations),3432344.1636000006
1364,Mill Creek (KY),KY,Jefferson,38.0525,-85.9103,355.5,2024.0,Ohio River,1,1.11,Good (1 violation),1892954.3130000003
1378,Paradise,KY,Muhlenberg,37.2608,-86.9783,2558.2,2020.0,Green River,0,0.0,Excellent (0 violations),13621816.3812
1379,Shawnee,KY,McCracken,37.1517,-88.775,175.0,2014.0,Ohio River,3,2.17,Poor (3+ violations),931834.0500000002
1381,Kenneth C Coleman,KY,Hancock,37.9631,-86.7911,602.0,2020.0,Ohio River,0,0.93,Excellent (0 violations),3205509.132
1382,HMP&L Station Two Henderson,KY,Webster,37.6469,-87.5028,405.0,2019.0,Green River,1,1.35,Good (1 violation),2156530.2300000004
1383,Robert A Reid,KY,Webster,37.6461,-87.5019,96.0,2020.0,Green River,2,1.92,Fair (2 violations),511177.5360000001
1385,Dale,KY,Clark,37.8806,-84.2619,216.0,2016.0,Kentucky River,2,2.03,Fair (2 violations),1150149.4560000002
